student_id,student_name,department,year
0,Student_000,Department_X,2
1,Student_001,Department_X,1
2,Student_002,Department_X,2
3,Student_003,Department_X,1
4,Student_004,Department_X,3
5,Student_005,Department_X,2
6,Student_006,Department_X,2
7,Student_007,Department_X,2
8,Student_008,Department_X,3
9,Student_009,Department_X,2
10,Student_010,Department_X,1
11,Student_011,Department_X,1
12,Student_012,Department_X,2
13,Student_013,Department_X,2
14,Student_014,Department_X,3
15,Student_015,Department_X,3
16,Student_016,Department_X,3
17,Student_017,Department_X,2
18,Student_018,Department_X,3
19,Student_019,Department_X,3
20,Student_020,Department_X,1
21,Student_021,Department_X,3
22,Student_022,Department_X,1
23,Student_023,Department_X,1
24,Student_024,Department_X,3
25,Student_025,Department_X,1
26,Student_026,Department_X,2
27,Student_027,Department_X,2
28,Student_028,Department_X,3
29,Student_029,Department_X,2
30,Student_030,Department_X,1
31,Student_031,Department_X,2
32,Student_032,Department_X,3
33,Student_033,Department_X,3
34,Student_034,Department_X,1
35,Student_035,Department_X,3
36,Student_036,Department_X,2
37,Student_037,Department_X,3
38,Student_038,Department_X,1
39,Student_039,Department_X,3
40,Student_040,Department_X,2
41,Student_041,Department_X,1
42,Student_042,Department_X,2
43,Student_043,Department_X,1
44,Student_044,Department_X,3
45,Student_045,Department_X,1
46,Student_046,Department_X,1
47,Student_047,Department_X,3
48,Student_048,Department_X,2
49,Student_049,Department_X,3
50,Student_050,Department_X,1
51,Student_051,Department_X,3
52,Student_052,Department_X,1
53,Student_053,Department_X,3
54,Student_054,Department_X,3
55,Student_055,Department_X,2
56,Student_056,Department_X,1
57,Student_057,Department_X,2
58,Student_058,Department_X,1
59,Student_059,Department_X,3
60,Student_060,Department_X,1
61,Student_061,Department_X,2
62,Student_062,Department_X,2
63,Student_063,Department_X,2
64,Student_064,Department_X,1
65,Student_065,Department_X,2
66,Student_066,Department_X,2
67,Student_067,Department_X,2
68,Student_068,Department_X,3
69,Student_069,Department_X,3
70,Student_070,Department_X,1
71,Student_071,Department_X,1
72,Student_072,Department_X,2
73,Student_073,Department_X,3
74,Student_074,Department_X,2
75,Student_075,Department_X,2
76,Student_076,Department_X,3
77,Student_077,Department_X,3
78,Student_078,Department_X,3
79,Student_079,Department_X,1
80,Student_080,Department_X,1
81,Student_081,Department_X,2
82,Student_082,Department_X,1
83,Student_083,Department_X,3
84,Student_084,Department_X,3
85,Student_085,Department_X,1
86,Student_086,Department_X,2
87,Student_087,Department_X,2
88,Student_088,Department_X,1
89,Student_089,Department_X,2
90,Student_090,Department_X,2
91,Student_091,Department_X,2
92,Student_092,Department_X,3
93,Student_093,Department_X,3
94,Student_094,Department_X,1
95,Student_095,Department_X,3
96,Student_096,Department_X,2
97,Student_097,Department_X,3
98,Student_098,Department_X,1
99,Student_099,Department_X,3
100,Student_100,Department_X,2
101,Student_101,Department_X,2
102,Student_102,Department_X,1
103,Student_103,Department_X,3
104,Student_104,Department_X,3
105,Student_105,Department_X,3
106,Student_106,Department_X,2
107,Student_107,Department_X,1
108,Student_108,Department_X,3
109,Student_109,Department_X,2
110,Student_110,Department_X,2
111,Student_111,Department_X,2
112,Student_112,Department_X,3
113,Student_113,Department_X,3
114,Student_114,Department_X,3
115,Student_115,Department_X,3
116,Student_116,Department_X,3
117,Student_117,Department_X,3
118,Student_118,Department_X,3
119,Student_119,Department_X,3
120,Student_120,Department_X,3
121,Student_121,Department_X,2
122,Student_122,Department_X,3
123,Student_123,Department_X,1
124,Student_124,Department_X,2
125,Student_125,Department_X,3
126,Student_126,Department_X,1
127,Student_127,Department_X,3
128,Student_128,Department_X,1
129,Student_129,Department_X,1
130,Student_130,Department_X,1
131,Student_131,Department_X,1
132,Student_132,Department_X,2
133,Student_133,Department_X,2
134,Student_134,Department_X,1
135,Student_135,Department_X,3
136,Student_136,Department_X,1
137,Student_137,Department_X,2
138,Student_138,Department_X,3
139,Student_139,Department_X,2
140,Student_140,Department_X,2
141,Student_141,Department_X,3
142,Student_142,Department_X,1
143,Student_143,Department_X,1
144,Student_144,Department_X,1
145,Student_145,Department_X,1
146,Student_146,Department_X,3
147,Student_147,Department_X,3
148,Student_148,Department_X,3
149,Student_149,Department_X,2
150,Student_150,Department_X,3
151,Student_151,Department_X,1
152,Student_152,Department_X,2
153,Student_153,Department_X,1
154,Student_154,Department_X,1
155,Student_155,Department_X,3
156,Student_156,Department_X,3
157,Student_157,Department_X,1
158,Student_158,Department_X,1
159,Student_159,Department_X,2
160,Student_160,Department_X,3
161,Student_161,Department_X,2
162,Student_162,Department_X,2
163,Student_163,Department_X,2
164,Student_164,Department_X,1
165,Student_165,Department_X,2
166,Student_166,Department_X,2
167,Student_167,Department_X,1
168,Student_168,Department_X,3
169,Student_169,Department_X,3
170,Student_170,Department_X,2
171,Student_171,Department_X,1
172,Student_172,Department_X,3
173,Student_173,Department_X,2
174,Student_174,Department_X,2
175,Student_175,Department_X,1
176,Student_176,Department_X,2
177,Student_177,Department_X,3
178,Student_178,Department_X,1
179,Student_179,Department_X,3
180,Student_180,Department_X,3
181,Student_181,Department_X,3
182,Student_182,Department_X,2
183,Student_183,Department_X,2
184,Student_184,Department_X,3
185,Student_185,Department_X,3
186,Student_186,Department_X,1
187,Student_187,Department_X,1
188,Student_188,Department_X,2
189,Student_189,Department_X,2
190,Student_190,Department_X,1
191,Student_191,Department_X,3
192,Student_192,Department_X,2
193,Student_193,Department_X,3
194,Student_194,Department_X,1
195,Student_195,Department_X,2
196,Student_196,Department_X,2
197,Student_197,Department_X,1
198,Student_198,Department_X,2
199,Student_199,Department_X,1
200,Student_200,Department_X,2
201,Student_201,Department_X,1
202,Student_202,Department_X,2
203,Student_203,Department_X,3
204,Student_204,Department_X,3
205,Student_205,Department_X,3
206,Student_206,Department_X,2
207,Student_207,Department_X,2
208,Student_208,Department_X,3
209,Student_209,Department_X,3
210,Student_210,Department_X,1
211,Student_211,Department_X,1
212,Student_212,Department_X,1
213,Student_213,Department_X,3
214,Student_214,Department_X,3
215,Student_215,Department_X,3
216,Student_216,Department_X,1
217,Student_217,Department_X,2
218,Student_218,Department_X,3
219,Student_219,Department_X,2
220,Student_220,Department_X,2
221,Student_221,Department_X,2
222,Student_222,Department_X,1
223,Student_223,Department_X,2
224,Student_224,Department_X,3
225,Student_225,Department_X,1
226,Student_226,Department_X,3
227,Student_227,Department_X,3
228,Student_228,Department_X,1
229,Student_229,Department_X,3
230,Student_230,Department_X,3
231,Student_231,Department_X,1
232,Student_232,Department_X,3
233,Student_233,Department_X,2
234,Student_234,Department_X,3
235,Student_235,Department_X,2
236,Student_236,Department_X,3
237,Student_237,Department_X,1
238,Student_238,Department_X,1
239,Student_239,Department_X,3
240,Student_240,Department_X,1
241,Student_241,Department_X,3
242,Student_242,Department_X,1
243,Student_243,Department_X,2
244,Student_244,Department_X,3
245,Student_245,Department_X,2
246,Student_246,Department_X,2
247,Student_247,Department_X,3
248,Student_248,Department_X,2
249,Student_249,Department_X,3
