student_id,student_name,department,year
0,Student_000,Department_X,3
1,Student_001,Department_X,3
2,Student_002,Department_X,2
3,Student_003,Department_X,2
4,Student_004,Department_X,3
5,Student_005,Department_X,2
6,Student_006,Department_X,2
7,Student_007,Department_X,2
8,Student_008,Department_X,3
9,Student_009,Department_X,1
10,Student_010,Department_X,1
11,Student_011,Department_X,3
12,Student_012,Department_X,2
13,Student_013,Department_X,2
14,Student_014,Department_X,1
15,Student_015,Department_X,3
16,Student_016,Department_X,3
17,Student_017,Department_X,2
18,Student_018,Department_X,2
19,Student_019,Department_X,2
20,Student_020,Department_X,3
21,Student_021,Department_X,1
22,Student_022,Department_X,3
23,Student_023,Department_X,3
24,Student_024,Department_X,3
25,Student_025,Department_X,1
26,Student_026,Department_X,2
27,Student_027,Department_X,2
28,Student_028,Department_X,3
29,Student_029,Department_X,3
30,Student_030,Department_X,1
31,Student_031,Department_X,1
32,Student_032,Department_X,2
33,Student_033,Department_X,3
34,Student_034,Department_X,1
35,Student_035,Department_X,1
36,Student_036,Department_X,3
37,Student_037,Department_X,3
38,Student_038,Department_X,3
39,Student_039,Department_X,3
40,Student_040,Department_X,3
41,Student_041,Department_X,3
42,Student_042,Department_X,1
43,Student_043,Department_X,3
44,Student_044,Department_X,2
45,Student_045,Department_X,3
46,Student_046,Department_X,2
47,Student_047,Department_X,2
48,Student_048,Department_X,2
49,Student_049,Department_X,3
50,Student_050,Department_X,3
51,Student_051,Department_X,2
52,Student_052,Department_X,3
53,Student_053,Department_X,1
54,Student_054,Department_X,1
55,Student_055,Department_X,1
56,Student_056,Department_X,1
57,Student_057,Department_X,3
58,Student_058,Department_X,2
59,Student_059,Department_X,3
60,Student_060,Department_X,1
61,Student_061,Department_X,3
62,Student_062,Department_X,3
63,Student_063,Department_X,1
64,Student_064,Department_X,2
65,Student_065,Department_X,3
66,Student_066,Department_X,3
67,Student_067,Department_X,1
68,Student_068,Department_X,2
69,Student_069,Department_X,1
70,Student_070,Department_X,1
71,Student_071,Department_X,3
72,Student_072,Department_X,2
73,Student_073,Department_X,1
74,Student_074,Department_X,3
75,Student_075,Department_X,1
76,Student_076,Department_X,3
77,Student_077,Department_X,2
78,Student_078,Department_X,1
79,Student_079,Department_X,2
80,Student_080,Department_X,2
81,Student_081,Department_X,3
82,Student_082,Department_X,1
83,Student_083,Department_X,1
84,Student_084,Department_X,3
85,Student_085,Department_X,3
86,Student_086,Department_X,2
87,Student_087,Department_X,1
88,Student_088,Department_X,1
89,Student_089,Department_X,3
90,Student_090,Department_X,3
91,Student_091,Department_X,3
92,Student_092,Department_X,1
93,Student_093,Department_X,1
